state,city,x,y
Spanija,Madrid,-226,-235
Portugalija,Lisbon,-322,-249
Francuska,Paris,-101,-61
Engleska,London,-127,-3
Irska,Dablin,-204,53
Island,Rejkavik,-298,335
Holandija,Amsterdam,-59,6
Belgija,Brussels,-69,-23
Luxemburg,Luxembourg,-47,-49
Svajcarska,Bern,-29,-110
Italija,Rome,51,-222
Norveska,Oslo,17,175
Svedska,Stockholm,99,165
Finska,Helsinki,173,199
Rusija,Moskva,343,147
Nemacka,Berlin,54,14
Ceska,Prag,72,-40
Austrija,Bec,102,-79
Slovenija,Ljubljana,79,-128
Hrvatska,Zagreb,103,-132
Poljska,Varsava,159,17
Slovacka,Bratislava,115,-77
Madjarska,Budapest,145,-90
Bosna and Hercegovina,Sarajevo,143,-170
Montenegro,Podgorica,161,-199
Serbia,Beograd,174,-146
Makedonija,Skopje,199,-207
Grcka,Atina,252,-286
Bugarska,Sofia,227,-184
Rumunija,Bukurest,264,-140
Ukranija,Kiev,294,5
Letonija,Riga,177,125
Litvanija,Vilnius,202,80
Estonija,Talinn,175,180
Moldovija,Chisinau,290,-74
Albanija,Tirana,176,-225
Malta,Malta,92,-354
