state,city,x,y
Spain,Madrid,-226,-235
Portugal,Lisbon,-322,-249
France,Paris,-101,-61
UK,London,-127,-3
Irelend,Doublin,-204,53
Iceland,Rejkavik,-298,335
Netherlands,Amsterdam,-59,6
Belgium,Brussels,-69,-23
Luxembourg,Luxembourg,-47,-49
Switzerland,Bern,-29,-110
Italy,Rome,51,-222
Norway,Oslo,17,175
Sweedan,Stockholm,99,165
Finland,Helsinki,173,199
Russia,Moscow,343,147
Germany,Berlin,54,14
Czech Republic,Prague,72,-40
Austria,Vienna,102,-79
Slovenia,Ljubljana,79-128
Croatia,Zagreb,103,-132
Poland,Warsaw,159,17
Slovakia,Bratislava,115,-77
Hungary,Budapest,145,-90
Bosna and Hercegovina,Sarajevo,143,-170
Montenegro,Podgorica,161,-199
Serbia,Belgrade,174,-146
NorthMacedonia,Skopje,199,-207
Greece,Athens,252,-286
Bulgaria,Sofia,227,-184
Romania,Bucharest,264,-140
Ukraine,Kiev,294,5
Latvia,Riga,177,125
Lithuania,Vilnius,202,80
Estonia,Talinn,175,180
Moldova,Chisinau,290-74
Albania,Tirana,176,-225
Malta,Malta,92,-354
